Title,Diff,Level,Const,Score,Clear,"Full Combo","All Justice","Full Chain",Genre
B.B.K.K.B.K.K.,MAS,12.5,12.5,1007250,1,0,0,0,VARIETY
B.B.K.K.B.K.K.,ULT,13.5,13.5,1008985,1,0,0,0,VARIETY
"Reach For The Stars",ULT,13.5,13.7,1008439,1,0,0,0,VARIETY
初音ミクの消失,EXP,12,12,1001730,1,0,0,0,niconico
初音ミクの消失,MAS,14.5,14.5,1009982,1,1,1,0,niconico
千本桜,MAS,12.5,12.6,984850,0,0,0,0,niconico
千本桜,ULT,13.5,13.7,1007714,1,0,0,0,niconico
DRAGONLADY,MAS,14,14.2,1002660,1,0,0,0,VARIETY
"taboo tears you up",MAS,13.5,13.8,1004358,1,0,0,0,東方Project
"taboo tears you up",ULT,15,15,1009728,1,1,0,0,東方Project
ナイト・オブ・ナイツ,EXP,9,9,1009777,1,1,1,0,東方Project
ナイト・オブ・ナイツ,MAS,12,12.2,1009965,1,1,1,2,東方Project
一触即発☆禅ガール,EXP,9.5,9.5,997871,1,0,0,0,niconico
一触即発☆禅ガール,MAS,13,13,1009064,1,1,0,0,niconico
タイガーランペイジ,ULT,15,15,1009353,1,0,0,0,niconico
"Blue Noise",MAS,14.5,14.5,1008210,1,0,0,0,VARIETY
Lapis,ULT,14.5,14.9,1007927,1,1,0,0,VARIETY
天ノ弱,EXP,8,8,999447,1,0,0,0,niconico
天ノ弱,MAS,11,11.1,999420,1,0,0,0,niconico
天ノ弱,ULT,13.5,13.7,1009042,1,0,0,0,niconico
L9,MAS,13.5,13.6,1007343,1,0,0,0,VARIETY
L9,ULT,15,15,1007771,1,0,0,0,VARIETY
六兆年と一夜物語,EXP,9.5,9.5,1004034,1,0,0,0,niconico
六兆年と一夜物語,MAS,13,13.4,1002686,1,0,0,0,niconico
六兆年と一夜物語,ULT,14,14.1,1009128,1,0,0,0,niconico
"Unlimited Spark!",ULT,14,14.1,1009950,1,1,1,0,東方Project
"My First Phone",MAS,14,14,1007160,1,0,0,0,ORIGINAL
Teriqma,ULT,14.5,14.5,1006808,1,0,0,0,ORIGINAL
Invitation,MAS,11.5,11.8,1007342,1,0,0,0,ORIGINAL
Invitation,ULT,13.5,13.5,1009630,1,1,0,0,ORIGINAL
"GOLDEN RULE",MAS,14.5,14.7,1007739,1,0,0,0,ORIGINAL
"Gate of Fate",MAS,14.5,14.7,1007976,1,0,0,0,ORIGINAL
"Gate of Fate",ULT,15,15.1,1005861,1,0,0,0,ORIGINAL
Anemone,MAS,11,11.1,995614,1,0,0,0,ORIGINAL
Anemone,ULT,13,13.1,1009263,1,1,0,0,ORIGINAL
昵懇レファレンス,ULT,13,13.1,1009981,1,1,1,0,ORIGINAL
"The wheel to the right",MAS,14,14.4,1005235,1,0,0,0,ORIGINAL
STAR,MAS,13.5,13.5,1006628,1,1,0,0,ORIGINAL
"Infantoon Fantasy",EXP,9.5,9.5,1009937,1,1,1,0,ORIGINAL
"Infantoon Fantasy",MAS,13,13,1008119,1,1,0,0,ORIGINAL
"Infantoon Fantasy",ULT,14,14.2,1009733,1,1,0,0,ORIGINAL
Genesis,MAS,14.5,14.5,1007954,1,0,0,0,ORIGINAL
"MUSIC PЯAYER",MAS,14,14,1009376,1,0,0,0,ORIGINAL
"MUSIC PЯAYER",ULT,14.5,14.5,1008336,1,0,0,0,ORIGINAL
Counselor,MAS,12,12.3,702652,0,0,0,0,ORIGINAL
"luna blu",MAS,14.5,14.5,1008024,1,0,0,0,ORIGINAL
"luna blu",ULT,15,15,1007460,1,0,0,0,ORIGINAL
ＧＯ！ＧＯ！ラブリズム♥,MAS,11.5,11.8,1009125,1,0,0,0,ORIGINAL
"Memories of Sun and Moon",EXP,8,8,1009539,1,1,0,0,ORIGINAL
ロストワンの号哭,EXP,9,9,987711,1,0,0,0,niconico
ロストワンの号哭,MAS,13,13,1000745,1,0,0,0,niconico
ロストワンの号哭,ULT,14,14.2,1009948,1,1,1,0,niconico
L'épisode,MAS,14.5,14.8,1005655,1,0,0,0,ORIGINAL
最終鬼畜妹・一部声,MAS,14,14,1007876,1,0,0,0,東方Project
セツナトリップ,MAS,13.5,13.8,1002889,1,0,0,0,niconico
砂漠のハンティングガール♡,ULT,14,14.1,1005872,1,0,0,0,ORIGINAL
チルノのパーフェクトさんすう教室,EXP,8,8,1005000,1,0,0,0,東方Project
チルノのパーフェクトさんすう教室,MAS,12.5,12.9,1002431,1,0,0,0,東方Project
魔理沙は大変なものを盗んでいきました,ULT,15,15,1002558,1,0,0,0,東方Project
言ノ葉カルマ,ULT,14,14.3,1007952,1,0,0,0,ゲキマイ
エンドマークに希望と涙を添えて,EXP,11.5,11.8,1005263,1,0,0,0,ORIGINAL
エンドマークに希望と涙を添えて,MAS,15,15,1007637,1,0,0,0,ORIGINAL
宛城、炎上！！,EXP,12.5,12.6,985518,1,0,0,0,ORIGINAL
宛城、炎上！！,MAS,15,15,1007351,1,0,0,0,ORIGINAL
"We Gonna Journey",MAS,14,14.2,1003793,1,0,0,0,ORIGINAL
"We Gonna Journey",ULT,14.5,14.9,1009648,1,1,0,0,ORIGINAL
"The ether",MAS,13,13,1006300,1,0,0,0,ORIGINAL
ストリーミングハート,ULT,14,14.1,1009933,1,1,1,0,niconico
Dreaming,MAS,11.5,11.7,1007392,1,0,0,0,東方Project
腐れ外道とチョコレゐト,EXP,9.5,9.5,1009892,1,1,1,0,niconico
腐れ外道とチョコレゐト,MAS,13.5,13.5,1001267,1,0,0,0,niconico
腐れ外道とチョコレゐト,ULT,14.5,14.8,1008881,1,1,0,0,niconico
"東方妖々夢 ～the maximum moving about～",MAS,14,14,1009966,1,1,1,0,東方Project
チルドレンレコード,EXP,10,10.2,984299,1,0,0,0,niconico
チルドレンレコード,MAS,13.5,13.7,990650,1,0,0,0,niconico
イカサマライフゲイム,MAS,12.5,12.5,1004287,1,0,0,0,niconico
イカサマライフゲイム,ULT,14,14.1,1009503,1,1,0,0,niconico
"HAELEQUIN (Original Remaster)",MAS,15,15.2,1007635,1,0,0,0,VARIETY
Vallista,MAS,14.5,14.8,1009876,1,1,1,0,VARIETY
"Angel dust",MAS,15,15,1009636,1,1,0,0,VARIETY
conflict,EXP,10.5,10.7,1004953,1,1,0,0,VARIETY
conflict,MAS,14,14.3,1008481,1,0,0,0,VARIETY
Guilty,ULT,14,14.2,1009931,1,1,1,0,ORIGINAL
閃鋼のブリューナク,MAS,14.5,14.6,1008625,1,0,0,0,ORIGINAL
ODDS&ENDS,EXP,9,9,995157,1,0,0,0,niconico
ODDS&ENDS,MAS,10.5,10.6,998383,1,0,0,0,niconico
ODDS&ENDS,ULT,13.5,13.5,1009568,1,1,0,0,niconico
Aragami,MAS,14.5,14.6,1009837,1,1,1,0,VARIETY
"Change Our MIRAI！",ULT,14.5,14.5,1008364,1,0,0,0,イロドリミドリ
"Theme of SeelischTact",ULT,14,14.3,1009409,1,1,0,0,ORIGINAL
"brilliant better",MAS,12,12.1,1009941,1,1,1,0,イロドリミドリ
"brilliant better",ULT,13.5,13.6,1009939,1,1,1,0,イロドリミドリ
"Gustav Battle",MAS,14,14.1,1005207,1,0,0,0,ORIGINAL
"Gustav Battle",ULT,14.5,14.9,1008287,1,0,0,0,ORIGINAL
ギガンティックO.T.N,MAS,14,14.1,1008117,1,0,0,0,niconico
ジングルベル,MAS,14.5,14.6,1008782,1,1,0,0,POPS&ANIME
ジングルベル,ULT,15,15,1007774,1,0,0,0,POPS&ANIME
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,MAS,13.5,13.6,1007567,1,0,0,0,イロドリミドリ
幾四音-Ixion-,ULT,14,14.3,1009238,1,0,0,0,ORIGINAL
ぼくらの16bit戦争,EXP,9.5,9.5,1001810,1,0,0,0,niconico
ぼくらの16bit戦争,MAS,14,14.1,1006528,1,0,0,0,niconico
裏表ラバーズ,EXP,9.5,9.5,995434,1,0,0,0,niconico
裏表ラバーズ,MAS,12,12.1,992925,1,0,0,0,niconico
裏表ラバーズ,ULT,14,14,1009300,1,1,0,0,niconico
脳漿炸裂ガール,EXP,10.5,10.8,989215,1,0,0,0,niconico
脳漿炸裂ガール,MAS,13.5,13.8,1008271,1,1,0,0,niconico
脳漿炸裂ガール,ULT,15,15,1007879,1,0,0,0,niconico
ネトゲ廃人シュプレヒコール,ULT,14,14.3,1009093,1,0,0,0,niconico
elegante,ULT,13.5,13.8,1008530,1,0,0,0,VARIETY
"DETARAME ROCK&ROLL THEORY",MAS,12,12,1008764,1,0,0,0,イロドリミドリ
"XL TECHNO",MAS,13.5,13.6,1009094,1,1,0,0,VARIETY
Halcyon,MAS,14.5,14.6,1008676,1,1,0,0,VARIETY
Halcyon,ULT,15,15.1,1009383,1,0,0,0,VARIETY
stella=steLLa,MAS,13.5,13.7,1008623,1,0,0,0,ORIGINAL
すろぉもぉしょん,ULT,14,14,1009674,1,1,0,0,niconico
怒槌,EXP,14,14,1008625,1,0,0,0,ORIGINAL
怒槌,MAS,15,15.4,1008510,1,0,0,0,ORIGINAL
患部で止まってすぐ溶ける～狂気の優曇華院,MAS,14,14.2,1005611,1,0,0,0,東方Project
患部で止まってすぐ溶ける～狂気の優曇華院,ULT,15,15.1,1008722,1,0,0,0,東方Project
ひれ伏せ愚民どもっ！,MAS,13.5,13.8,1007810,1,0,0,0,東方Project
エテルニタス・ルドロジー,MAS,13.5,13.8,1009600,1,1,0,0,東方Project
"Phantasm Brigade",MAS,14,14.1,1009953,1,1,1,0,東方Project
"FREEDOM DiVE",EXP,11.5,11.5,1006750,1,0,0,0,VARIETY
"FREEDOM DiVE",MAS,15,15,1009396,1,1,0,0,VARIETY
"Contrapasso -inferno-",MAS,15,15.2,1006255,1,0,0,0,ORIGINAL
FLOWER,EXP,9.5,9.5,1002790,1,0,0,0,VARIETY
FLOWER,ULT,14,14.2,1009977,1,1,1,0,VARIETY
ちくわパフェだよ☆CKP,ULT,14,14.4,1009942,1,1,1,0,VARIETY
アスノヨゾラ哨戒班,EXP,9.5,9.5,983746,1,0,0,0,niconico
アスノヨゾラ哨戒班,MAS,12.5,12.6,1009135,1,1,0,0,niconico
アスノヨゾラ哨戒班,ULT,14,14,1008808,1,0,0,0,niconico
"玩具狂奏曲 -終焉-",EXP,13.5,13.9,1000707,1,0,0,0,ORIGINAL
"玩具狂奏曲 -終焉-",MAS,15,15.3,1002620,1,0,0,0,ORIGINAL
如月アテンション,MAS,12.5,12.7,1009960,1,1,1,0,niconico
カミサマネジマキ,MAS,14,14.1,1006372,1,0,0,0,niconico
"Garakuta Doll Play",MAS,15,15,1003044,1,0,0,0,ゲキマイ
紅華刑,MAS,14,14.4,1003844,1,0,0,0,ORIGINAL
Hyperion,ULT,14.5,14.5,1007906,1,0,0,0,ORIGINAL
"Elemental Creation",EXP,11,11.3,1009949,1,1,1,0,VARIETY
"Elemental Creation",MAS,14.5,14.5,1008935,1,0,0,0,VARIETY
"Elemental Creation",ULT,15,15.1,1009189,1,0,0,0,VARIETY
アルストロメリア,ULT,14.5,14.6,1009591,1,1,0,0,VARIETY
"Devastating Blaster",MAS,15,15,1005785,1,0,0,0,ORIGINAL
夜咄ディセイブ,EXP,10,10.1,987371,1,0,0,0,niconico
夜咄ディセイブ,MAS,13.5,13.5,1001530,1,0,0,0,niconico
回レ！雪月花,ULT,14,14,1009155,1,1,0,0,POPS&ANIME
なるとなぎのパーフェクトロックンロール教室,MAS,13.5,13.8,1009158,1,0,0,0,イロドリミドリ
"Schrecklicher Aufstand",MAS,15,15.1,1007963,1,0,0,0,ORIGINAL
Philosopher,MAS,14.5,14.5,1008017,1,0,0,0,ORIGINAL
愛迷エレジー,MAS,12.5,12.8,1004067,1,0,0,0,niconico
"TiamaT:F minor",MAS,15,15.3,1007921,1,0,0,0,ORIGINAL
"Oshama Scramble! (Cranky Remix)",MAS,14,14,1009672,1,1,0,2,ORIGINAL
"Hand in Hand",MAS,11.5,11.7,1009618,1,1,0,2,niconico
猫祭り,MAS,12,12.3,1009677,1,1,0,0,イロドリミドリ
ゲシュタルト！テスト期間！！,MAS,13.5,13.7,1007451,1,0,0,0,ORIGINAL
TRUST,MAS,13,13.1,1009923,1,1,1,0,イロドリミドリ
ラクガキスト,MAS,14,14.4,1009853,1,1,1,0,niconico
幸せになれる隠しコマンドがあるらしい,MAS,13.5,13.7,1008791,1,0,0,0,niconico
メルト,EXP,8,8,983681,1,0,0,0,niconico
ロミオとシンデレラ,EXP,10,10,990562,1,0,0,0,niconico
ロミオとシンデレラ,MAS,11.5,11.8,1009962,1,1,1,0,niconico
インビジブル,MAS,14,14.2,1007306,1,0,0,0,niconico
人生リセットボタン,EXP,10,10.3,1008880,1,1,0,0,niconico
人生リセットボタン,MAS,13.5,13.8,1006808,1,0,0,0,niconico
風仁雷仁,ULT,14.5,14.9,1009919,1,1,1,2,VARIETY
"PRIVATE SERVICE",ULT,14.5,14.9,1009345,1,1,0,0,VARIETY
Strahv,MAS,14,14.4,1008239,1,0,0,0,VARIETY
幻想のサテライト,MAS,14,14.2,1007869,1,0,0,0,東方Project
凛として咲く花の如く,ULT,14,14.3,998117,1,0,0,0,VARIETY
Air,EXP,10,10.1,1005942,1,0,0,0,VARIETY
Air,MAS,14.5,14.5,1009919,1,1,1,0,VARIETY
Air,ULT,15,15.2,1009059,1,0,0,0,VARIETY
DataErr0r,MAS,14,14,1008095,1,0,0,0,VARIETY
"ERIS -Legend of Gaidelia-",ULT,15,15.1,1008169,1,0,0,0,VARIETY
"Imperishable Night 2006 (2016 Refine)",MAS,14.5,14.7,1009439,1,0,0,0,東方Project
Dreadnought,MAS,14.5,14.5,1009036,1,1,0,0,VARIETY
Dreadnought,ULT,14.5,14.8,1008967,1,0,0,0,VARIETY
"★LittlE HearTs★",MAS,15,15.2,1008442,1,0,0,0,VARIETY
ドキドキDREAM!!!,ULT,13.5,13.8,1009750,1,1,0,0,イロドリミドリ
猛進ソリストライフ！,ULT,14.5,14.8,1009669,1,1,0,0,イロドリミドリ
空威張りビヘイビア,MAS,13,13.1,1008538,1,0,0,0,ゲキマイ
空威張りビヘイビア,ULT,14,14,1009164,1,0,0,0,ゲキマイ
"Oshama Scramble!",MAS,14,14,1009970,1,1,1,0,ゲキマイ
"Oshama Scramble!",ULT,15,15,1009945,1,1,1,0,ゲキマイ
"Supersonic Generation",MAS,14,14.4,1005395,1,0,0,0,ORIGINAL
オススメ☆♂♀☆でぃすとぴあ,MAS,14,14.4,1009123,1,0,0,0,ORIGINAL
桜ノ雨,MAS,11,11,1005419,1,0,0,0,niconico
おこちゃま戦争,MAS,13.5,13.8,1008089,1,0,0,0,niconico
アンハッピーリフレイン,MAS,13.5,13.7,1008316,1,0,0,0,niconico
デリヘル呼んだら君が来た,MAS,13,13,1008826,1,1,0,0,niconico
チュルリラ・チュルリラ・ダッダッダ！,EXP,10,10,972578,1,0,0,0,niconico
ECHO,EXP,9.5,9.5,1009955,1,1,1,0,niconico
"Help me, ERINNNNNN!! -Cranky remix-",MAS,12.5,12.6,1002976,1,1,0,0,東方Project
Evans,MAS,14,14.4,993066,1,0,0,0,VARIETY
Evans,ULT,14.5,14.7,1009962,1,1,1,0,VARIETY
神威,MAS,15,15.2,1006386,1,0,0,0,VARIETY
GOODTEK,MAS,14,14.3,1009077,1,1,0,0,VARIETY
"Name of oath",MAS,14.5,14.5,1009938,1,1,1,0,VARIETY
"Dengeki Tube",MAS,15,15.2,1008241,1,1,0,0,VARIETY
"Like the Wind [Reborn]",MAS,14,14.4,1007155,1,0,0,0,ゲキマイ
最愛テトラグラマトン,ULT,14,14,1007241,1,0,0,0,ORIGINAL
混沌を越えし我らが神聖なる調律主を讃えよ,EXP,14,14.4,1009353,1,1,0,0,ORIGINAL
混沌を越えし我らが神聖なる調律主を讃えよ,MAS,15.5,15.5,1007550,1,0,0,0,ORIGINAL
Finite,MAS,15,15.2,1005998,1,0,0,0,VARIETY
地球最後の告白を,EXP,9,9,995975,1,0,0,0,niconico
地球最後の告白を,MAS,13,13,1008644,1,1,0,0,niconico
"Through The Tower",MAS,12.5,12.9,1009954,1,1,1,0,VARIETY
Aleph-0,EXP,13.5,13.7,1009028,1,1,0,0,VARIETY
Aleph-0,MAS,14.5,14.9,1009511,1,1,0,0,VARIETY
Aleph-0,ULT,15,15.4,1005450,1,0,0,0,VARIETY
"Black Lotus",MAS,14,14.4,1009124,1,0,0,0,VARIETY
立川浄穢捕物帳,MAS,14,14,1006431,1,0,0,0,ORIGINAL
"JIGOKU STATION CENTRAL GATE",MAS,14,14.3,1009155,1,0,0,0,ORIGINAL
"JIGOKU STATION CENTRAL GATE",ULT,14.5,14.9,1009892,1,1,1,0,ORIGINAL
トリスメギストス,MAS,14,14.2,1005125,1,0,0,0,ORIGINAL
"キラメケ→Shoot it Now!",MAS,13.5,13.9,1008205,1,0,0,0,ORIGINAL
"Kattobi KEIKYU Rider",MAS,14.5,14.9,1009508,1,0,0,0,ORIGINAL
"Glorious Crown (tpz over-Over-OVERCUTE REMIX)",EXP,13.5,13.6,1009904,1,1,1,0,ORIGINAL
"Glorious Crown (tpz over-Over-OVERCUTE REMIX)",MAS,15,15,1008729,1,0,0,0,ORIGINAL
のぼれ！すすめ！高い塔,MAS,14,14.3,1008672,1,0,0,0,niconico
害虫,MAS,14,14.2,1009360,1,1,0,0,niconico
Vampire,ULT,15,15.2,1009151,1,0,0,0,POPS&ANIME
星色夜空,MAS,10.5,10.5,1009988,1,1,1,0,東方Project
物凄い勢いでけーねが物凄いうた,ULT,13.5,13.5,1009981,1,1,1,0,東方Project
"World Vanquisher",EXP,13.5,13.8,1007723,1,0,0,0,ORIGINAL
"World Vanquisher",MAS,15.5,15.5,1005086,1,0,0,0,ORIGINAL
macrocosmos,EXP,13,13.3,1009697,1,1,0,0,ORIGINAL
macrocosmos,MAS,15,15.4,1005442,1,0,0,0,ORIGINAL
Iudicium,MAS,15,15,1007901,1,0,0,0,ORIGINAL
奏者はただ背中と提琴で語るのみ,MAS,14,14,1008205,1,0,0,0,イロドリミドリ
Xevel,MAS,15,15.1,1009531,1,0,0,0,ORIGINAL
セイクリッド　ルイン,MAS,14,14.4,1008940,1,0,0,0,VARIETY
極圏,MAS,14.5,14.6,1008372,1,0,0,0,VARIETY
"Scarlet Lance",MAS,14.5,14.7,1009670,1,1,0,0,VARIETY
VERTeX,MAS,14.5,14.7,1009043,1,0,0,0,ゲキマイ
"Hyper Active",MAS,14,14.3,1008393,1,1,0,0,ゲキマイ
"Caliburne ～Story of the Legendary sword～",MAS,14.5,14.9,1009869,1,1,1,0,ゲキマイ
"Calamity Fortune",MAS,14.5,14.8,1009506,1,1,0,0,東方Project
"G e n g a o z o",MAS,14.5,14.7,1009664,1,1,0,0,VARIETY
木彫り鯰と右肩ゾンビ,MAS,12.5,12.9,1008795,1,0,0,0,niconico
ヒビカセ,MAS,13,13.3,1006846,1,0,0,0,niconico
チルノのパーフェクトさんすう教室　⑨周年バージョン,EXP,9.5,9.5,996041,1,0,0,0,東方Project
チルノのパーフェクトさんすう教室　⑨周年バージョン,MAS,14,14,987404,1,0,0,0,東方Project
"BlazinG AIR",MAS,14,14.3,1009728,1,1,0,0,ORIGINAL
"AMAZING MIGHTYYYY!!!!",MAS,14.5,14.8,1009338,1,1,0,0,ゲキマイ
"砂の惑星 feat. HATSUNE MIKU",BAS,3,3,997728,1,0,0,0,niconico
"砂の惑星 feat. HATSUNE MIKU",ADV,5,5,1002132,1,0,0,0,niconico
"砂の惑星 feat. HATSUNE MIKU",EXP,8,8,994380,1,0,0,0,niconico
"砂の惑星 feat. HATSUNE MIKU",MAS,12.5,12.8,978833,1,0,0,0,niconico
拝啓ドッペルゲンガー,EXP,10,10,991931,1,0,0,0,niconico
拝啓ドッペルゲンガー,MAS,14,14.1,1009361,1,1,0,0,niconico
Doppelganger,MAS,14.5,14.9,1007945,1,0,0,0,VARIETY
"Sparking Revolver",MAS,14.5,14.7,1008821,1,0,0,0,ORIGINAL
"Gate of Doom",MAS,14.5,14.9,1007529,1,0,0,0,ORIGINAL
ダンスロボットダンス,MAS,12.5,12.7,1009217,1,0,0,0,niconico
レトロマニア狂想曲,MAS,13.5,13.5,1009976,1,1,1,0,niconico
"otorii INNOVATED -[i]3-",MAS,15,15.2,1008486,1,0,0,0,ORIGINAL
"Pastel Party",MAS,14,14,1006236,1,0,0,0,ORIGINAL
Twilight,MAS,14,14.4,1009519,1,1,0,0,ORIGINAL
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,MAS,14.5,14.9,1007586,1,0,0,0,ゲキマイ
ネ！コ！,ULT,14,14,1009969,1,1,1,0,POPS&ANIME
マトリョシカ,EXP,9.5,9.5,1002419,1,0,0,0,niconico
ゴーストルール,EXP,9.5,9.5,984861,1,0,0,0,niconico
ゴーストルール,MAS,13.5,13.7,1004017,1,0,0,0,niconico
頓珍漢の宴,MAS,14,14.1,1004871,1,0,0,0,niconico
"Super Lovely (Heavenly Remix)",MAS,14,14.3,1009317,1,0,0,0,VARIETY
"管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2",MAS,14.5,14.5,1009625,1,1,0,0,イロドリミドリ
ウサテイ,EXP,9.5,9.5,992909,1,0,0,0,東方Project
ウサテイ,MAS,13.5,13.8,1009953,1,1,1,0,東方Project
"Dual Fractal",MAS,13.5,13.9,1008998,1,0,0,0,ORIGINAL
"Surveiller et punir",MAS,15,15.1,1008276,1,0,0,0,ORIGINAL
"業 -善なる神とこの世の悪について-",EXP,14,14.2,1008705,1,0,0,0,ORIGINAL
"業 -善なる神とこの世の悪について-",MAS,15.5,15.6,1003094,1,0,0,0,ORIGINAL
"End Time",EXP,13.5,13.7,1006203,1,1,0,0,VARIETY
"End Time",MAS,15,15.1,1008617,1,0,0,0,VARIETY
volcanic,MAS,14,14.4,1009981,1,1,1,0,VARIETY
アンノウン・マザーグース,EXP,9,9,997985,1,0,0,0,niconico
アンノウン・マザーグース,MAS,13.5,13.8,1009931,1,1,1,0,niconico
サドマミホリック,MAS,14,14.2,1010000,1,1,1,0,東方Project
サドマミホリック,ULT,14.5,14.9,1009764,1,1,0,0,東方Project
初音ミクの激唱,EXP,13,13,1005639,1,1,0,0,niconico
初音ミクの激唱,MAS,14.5,14.8,1009957,1,1,1,0,niconico
きゅうりバーにダイブ,MAS,14,14.4,1006443,1,0,0,0,東方Project
むしとりのうた,MAS,11,11,1009125,1,1,0,0,VARIETY
ミリオン／ワンズ,MAS,13.5,13.7,978419,0,0,0,0,niconico
"フリィダム ロリィタ",MAS,11.5,11.7,1008733,1,0,0,0,niconico
"DAYBREAK FRONTLINE",EXP,9,9,994775,1,0,0,0,niconico
"DAYBREAK FRONTLINE",MAS,11.5,11.5,1007794,1,0,0,0,niconico
"ナイト・オブ・ナイツ (Cranky Remix)",EXP,10,10,1004536,1,0,0,0,東方Project
"ナイト・オブ・ナイツ (Cranky Remix)",MAS,14,14.1,1009265,1,0,0,0,東方Project
"Brain Power",MAS,14,14.3,1009973,1,1,1,0,VARIETY
"ouroboros -twin stroke of the end-",MAS,14.5,14.8,1009912,1,1,1,0,VARIETY
GERBERA,MAS,14.5,14.6,1009239,1,0,0,0,VARIETY
"Taiko Drum Monster",MAS,14,14.3,995240,1,0,0,0,VARIETY
Nhelv,MAS,14.5,14.7,1009968,1,1,1,0,VARIETY
